OBJECTID,ain,SiteAddress,usecode,usetype,usedescription,Vacant_Use,unitstotal,MaxYear,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,LUP_Description,LUP_MinDens,LUP_MaxDens,P_LUP_FINAL,P_LUP_Description,P_LUP_FINAL_MinDens,P_LUP_FINAL_MaxDens,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,Zoning_Description,P_Zoning_FINAL,P_Zoning_Description,Acres,Max_Units_Allowed_Rounded,RHNA_Eligible,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Consolidation_Adj_APNs,Shape__Area,Shape__Length
1,8574014019,11135 W HONDO PKWY TEMPLE CITY CA 91780,7410,Institutional,Hospitals,Non-Vacant,0,1956,5,San Gabriel Valley,West San Gabriel Valley Planning Area,SOUTH MONROVIA ISLANDS,General Plan 2035,H30,100,,,,,H30 - Residential 30 (0 - 30 du/net ac),0,30 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,80.3,A-1,19.69,,,R-3 - Limited Density Multiple Residence,R-3,R-3 - Limited Density Multiple Residence,1.24818365,38,Yes,20,0,0,20,40,VL/AM,,,54370.6640625,1399.66210581733
2,8401002014,20602 E ARROW HWY COVINA CA 91724,0501,Residential,Five or more apartments,Non-Vacant,44,1969,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.56500364,85,Yes,0,0,0,52,52,AM,HT,"8401002014, 8401001016",24611.458984375,810.513731268417
3,8401002013,20616 E ARROW HWY COVINA CA 91724,2100,Commercial,"Restaurants, Cocktail Lounges",Non-Vacant,0,1966,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.75192485,113,Yes,58,0,0,58,116,VL/AM,,,32753.7158203125,804.767289606386
4,8401021004,21324 E ARROW HWY COVINA CA 91724,0100,Residential,Single,Non-Vacant,0,1955,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.67581447,102,Yes,53,0,0,52,105,VL/AM,,,29438.3603515625,796.990174114633
5,4102002037,6720 SPRINGPARK AVE LOS ANGELES CA 90056,0500,Residential,Five or more apartments,Non-Vacant,22,1968,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,H50,100,,,,,H50 - Residential 50 (0 - 50 du/net ac),0,50 du/net ac,H100,H100 - Residential 100 (50 - 100 du/net ac),50,100,R-3,100,,,,,R-3 - Limited Density Multiple Residence,R-5,R-5 - High Density Multiple Residence,0.51191911,52,Yes,18,0,0,18,36,VL/AM,,,22299.1083984375,593.724405949068
6,6342030031,5747 WHITTIER BLVD LOS ANGELES CA 90022,2600,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",Non-Vacant,0,1969,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.50015899,76,Yes,31,0,0,30,61,VL/AM,,,21786.8388671875,594.613378679619
7,5240011036,5039 WHITTIER BLVD LOS ANGELES CA 90022,1100,Commercial,Stores,Non-Vacant,4,2005,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.69811405,105,Yes,0,0,0,81,81,AM,,,30409.724609375,708.547993627739
8,8725006038,19052 LA PUENTE DR WALNUT CA 91789,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1975,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,SOUTH SAN JOSE HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,1.07067031,161,Yes,65,0,0,64,129,VL/AM,,,46638.2119140625,1245.41749617519
9,6008031032,E Gage Ave & Parmelee Ave 90001,2700,Commercial,Parking Lots (Commercial Use Properties),Non-Vacant,0,2005,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,1.09381385,165,Yes,0,0,132,0,132,M,DW,"6008031032, 6008031031",47646.33984375,2546.83877996745
10,6134001045,13218 AVALON BLVD LOS ANGELES CA 90061,0503,Residential,Five or more apartments,Non-Vacant,55,2014,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,1.72042079,259,Yes,0,0,164,0,164,M,,,74941.23046875,1308.41603953067
11,4102002075,6740 SPRINGPARK AVE NO 215 LOS ANGELES CA 90056,010C,Residential,Single,Non-Vacant,3,1965,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,H50,100,,,,,H50 - Residential 50 (0 - 50 du/net ac),0,50 du/net ac,H100,H100 - Residential 100 (50 - 100 du/net ac),50,100,R-3,100,,,,,R-3 - Limited Density Multiple Residence,R-5,R-5 - High Density Multiple Residence,0.69256781,70,Yes,0,0,0,70,70,AM,,,30168.134765625,719.359469107713
12,8725006031,19050 LA PUENTE RD WEST COVINA CA 91792,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1975,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,SOUTH SAN JOSE HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,2.18048876,328,Yes,132,0,0,131,263,VL/AM,,,94981.7109375,2105.51180629087
13,5013013015,4401 CRENSHAW BLVD LOS ANGELES CA 90043,2300,Commercial,Banks Savings & Loan,Non-Vacant,0,1964,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.51579546,78,Yes,40,0,0,40,80,VL/AM,,,22467.9580078125,609.554616942398
14,6008031031,1301 E GAGE AVE LOS ANGELES CA 90001,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,20,2005,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,6.97739598,1047,Yes,0,0,822,0,822,M,DW,"6008031032, 6008031031",303934.154296875,3423.18397162623
15,6341040036,5201 WHITTIER BLVD LOS ANGELES CA 90022,1100,Commercial,Stores,Non-Vacant,5,1985,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.50651541,76,Yes,29,0,0,28,57,VL/AM,,,22063.724609375,598.294789512956
16,8112004086,13540 VALLEY BLVD LA PUENTE CA 91746,2700,Commercial,Parking Lots (Commercial Use Properties),Non-Vacant,0,1999,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,AVOCADO HEIGHTS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.66928025,101,Yes,0,0,0,81,81,AM,,,29153.7294921875,957.64543727706
17,8110023029,13032 VALLEY BLVD LA PUENTE CA 91746,1200,Commercial,Store Combination,Non-Vacant,1,1965,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,AVOCADO HEIGHTS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,1.18752991,179,Yes,72,0,0,71,143,VL/AM,BD,"8110023029, 8110023030",51728.5986328125,919.423237543376
18,8110023030,Clogston Dr & E Arillo St 91746,100V,Commercial,Commercial,Vacant,0,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,AVOCADO HEIGHTS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.53667427,81,Yes,33,0,0,32,65,VL/AM,BD,"8110023029, 8110023030",23377.4326171875,691.096831420239
19,6180014001,4410 E COMPTON BLVD COMPTON CA 90221,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1970,2,South Los Angeles,Metro Planning Area,EAST RANCHO DOMINGUEZ,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,2.12476077,319,Yes,0,0,256,0,256,M,CF,"6180014001, 6180014002",92554.20703125,1291.66008360578
20,8215024008,2211 S HACIENDA BLVD HACIENDA HEIGHTS CA 91745,1700,Commercial,Office Buildings,Non-Vacant,0,1979,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-2,100,,,,,C-2 - Neighborhood Business,C-2,C-2 - Neighborhood Business,0.97865468,49,Yes,0,0,0,40,40,AM,,,42630.02734375,873.228547998591
21,8725006036,19040 LA PUENTE DR WALNUT CA 91789,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1977,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,SOUTH SAN JOSE HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.52987713,80,Yes,32,0,0,32,64,VL/AM,HY,"8725006036, 8725006037",23081.3544921875,885.129568975591
22,5836031032,2131 RAYMOND AVE ALTADENA CA 91001,0500,Residential,Five or more apartments,Non-Vacant,10,1954,5,San Gabriel Valley,West San Gabriel Valley Planning Area,ALTADENA,Altadena Community Plan,MD,69.02,GC,30.98,,,MD - Medium Density Residential (12 - 22 du/gross ac),12 du/gross ac,22 du/gross ac,H50,H50 - Residential 50 (20 - 50 du/net ac),20,50,R-3,68.14,R-3-P,29.72,C-3,2.14,R-3 - Limited Density Multiple Residence,R-4,R-4 - Unlimited Residence,0.60208519,31,Yes,12,0,0,12,24,VL/AM,,,26226.7255859375,791.760598049188
23,8030002029,14356 TELEGRAPH ROAD A WHITTIER CA 90605,1100,Commercial,Stores,Non-Vacant,0,1963,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.52141022,79,Yes,32,0,0,32,64,VL/AM,,,22712.5400390625,597.272056892303
24,6181029043,15614 S ATLANTIC AVE COMPTON CA 90221,1700,Commercial,Office Buildings,Non-Vacant,0,1961,2,South Los Angeles,Metro Planning Area,EAST RANCHO DOMINGUEZ,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.69012704,104,Yes,42,42,0,0,84,VL/L,,,30061.814453125,692.638734851471
25,5845021034,2235 LAKE AVE NO 202 ALTADENA CA 91001,1200,Commercial,Store Combination,Non-Vacant,0,1992,5,San Gabriel Valley,West San Gabriel Valley Planning Area,ALTADENA,Altadena Community Plan,MU,100,,,,,"MU - Mixed Use ""Center"" (12.1 - 22 du/gross acre)",12.1 du/gross acre,22 du/gross acre,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-2,65,C-3,34.99,,,C-2 - Neighborhood Business,C-3,C-3 - General Commercial,1.35140393,68,Yes,0,0,0,70,70,AM,CX,"5845021034, 5845021035",58866.91796875,1042.68084006519
26,6021015050,7316 COMPTON AVE LOS ANGELES CA 90001,1400,Commercial,Supermarkets,Non-Vacant,1,1961,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,3.58230396,538,Yes,215,215,0,0,430,VL/L,,,156044.538085938,1899.26336976157
27,5845001009,923 E MARIPOSA ST ALTADENA CA 91001,0500,Residential,Five or more apartments,Non-Vacant,10,1965,5,San Gabriel Valley,West San Gabriel Valley Planning Area,ALTADENA,Altadena Community Plan,MU,100,,,,,"MU - Mixed Use ""Center"" (12.1 - 22 du/gross acre)",12.1 du/gross acre,22 du/gross acre,CG,CG - General Commercial (20 - 50 du/net ac),20,50,R-3-P,100,,,,,R-3 - Limited Density Multiple Residence,C-3,C-3 - General Commercial,0.65428684,33,Yes,14,0,0,13,27,VL/AM,,,28500.6240234375,783.457228847867
28,6341023011,532 S ATLANTIC BLVD LOS ANGELES CA 90022,7100,Institutional,Churches,Non-Vacant,0,1951,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,P,100,,,,,P - Public Use,,,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.66413896,100,Yes,40,0,0,40,80,VL/AM,,,28929.7763671875,708.187163849644
29,4004002030,3826 W SLAUSON AVE LOS ANGELES CA 90043,1100,Commercial,Stores,Non-Vacant,0,2016,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.5682287,86,Yes,0,0,0,88,88,AM,,,24751.9404296875,670.023747386127
30,4102002145,6770 SPRINGPARK AVE 17 LOS ANGELES CA 90056,0500,Residential,Five or more apartments,Non-Vacant,32,1973,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,H50,100,,,,,H50 - Residential 50 (0 - 50 du/net ac),0,50 du/net ac,H100,H100 - Residential 100 (50 - 100 du/net ac),50,100,R-3,100,,,,,R-3 - Limited Density Multiple Residence,R-5,R-5 - High Density Multiple Residence,0.70556849,71,Yes,0,0,0,48,48,AM,,,30734.4404296875,719.560534233171
31,5240017028,623 S ATLANTIC BLVD LOS ANGELES CA 90022,2700,Commercial,Parking Lots (Commercial Use Properties),Non-Vacant,1,1989,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.7525594,113,Yes,0,0,0,90,90,AM,,,32781.3525390625,769.815211936042
32,6010020034,1441 E 67TH ST LOS ANGELES CA 90001,0500,Residential,Five or more apartments,Non-Vacant,6,1961,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,57.21,H18,42.79,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,57.21,R-3,42.79,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,1.26899339,191,Yes,74,74,0,0,148,VL/L,,,55277.1298828125,990.646134502999
33,4070012036,15425 CRENSHAW BLVD GARDENA CA 90249,1100,Commercial,Stores,Non-Vacant,1,2006,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,79.45,R-3-P,20.55,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.87568572,132,Yes,0,0,0,135,135,AM,,,38144.716796875,840.218245831414
34,6008029028,6111 COMPTON AVE LOS ANGELES CA 90001,1700,Commercial,Office Buildings,Non-Vacant,1,1997,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.53377496,81,Yes,32,32,0,0,64,VL/L,,,23251.1455078125,617.418108766657
35,6047015043,9047 S VERMONT AVE LOS ANGELES CA 90044,6400,Recreational,"Clubs., Lodge Halls, Fraternal Organizations",Non-Vacant,30,1998,2,South Los Angeles,Metro Planning Area,W ATHENS - WESTMONT,West Athens-Westmont Community Plan,C.1,100,,,,,C.1 - Regional Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.65223085,98,Yes,28,27,0,0,55,VL/L,,,28411.060546875,673.773508317605
36,8171027016,11500 WHITTIER BLVD WHITTIER CA 90601,1100,Commercial,Stores,Non-Vacant,0,1933,4,East Los Angeles / Gateway,Gateway Planning Area,WEST WHITTIER - LOS NIETOS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.55070816,83,Yes,34,0,0,33,67,VL/AM,,,23988.7490234375,632.980958814108
37,8227001046,14531 LEFFINGWELL RD WHITTIER CA 90604,1100,Commercial,Stores,Non-Vacant,0,1962,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.64257632,97,Yes,39,0,0,39,78,VL/AM,,,27990.5107421875,690.782497124641
38,8215024007,2219 S HACIENDA BLVD HACIENDA HEIGHTS CA 91745,1900,Commercial,Professional Buildings,Non-Vacant,0,1965,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-2,100,,,,,C-2 - Neighborhood Business,C-2,C-2 - Neighborhood Business,0.79936509,40,Yes,16,0,0,16,32,VL/AM,HL,"8215024007, 8215024006, 8215024009",34820.205078125,859.457419150494
39,6134001044,13232 AVALON BLVD LOS ANGELES CA 90061,0500,Residential,Five or more apartments,Non-Vacant,42,2000,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,1.72104741,259,Yes,0,0,174,0,174,M,,,74968.525390625,1308.75575827449
40,4001001009,4911 W 59TH ST LOS ANGELES CA 90056,7100,Institutional,Churches,Non-Vacant,1,1966,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.89187745,134,Yes,68,0,0,68,136,VL/AM,E,"4001001009, 4001001007",38850.0224609375,871.552687919983
41,6180014002,15215 S ATLANTIC AVE COMPTON CA 90221,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1970,2,South Los Angeles,Metro Planning Area,EAST RANCHO DOMINGUEZ,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,1.45224642,218,Yes,88,87,0,0,175,VL/L,CF,"6180014001, 6180014002",63259.6015625,1250.43311672058
42,8219001073,1339 S HACIENDA BLVD HACIENDA HEIGHTS CA 91745,2100,Commercial,Church,Non-Vacant,0,1975,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,CPD,100,,,,,CPD - Commercial Planned Development,C-H,C-H - Commercial Highway,0.9968122,50,Yes,20,0,0,20,40,VL/AM,,,43420.9619140625,931.87433221675
43,8222001027,2385 S HACIENDA BLVD HACIENDA HEIGHTS CA 91745,1100,Commercial,Stores,Non-Vacant,0,1974,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,CPD,100,,,,,CPD - Commercial Planned Development,C-3,C-3 - General Commercial,0.93694595,47,Yes,19,0,0,19,38,VL/AM,,,40813.2041015625,1150.80525662376
44,6341033037,S Eastmont Ave & Whittier Blvd 90022,,Commercial,,Non-Vacant,0,2018,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,95.31,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.60747672,92,Yes,0,0,0,74,74,AM,,,26461.580078125,669.619683462569
45,6134001020,13124 AVALON BLVD LOS ANGELES CA 90061,3100,Industrial,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,Non-Vacant,0,1961,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,1.06570318,160,Yes,64,64,0,0,128,VL/L,,,46421.84375,1188.80192551128
46,4070013018,15701 CRENSHAW BLVD GARDENA CA 90249,1100,Commercial,Stores,Non-Vacant,0,1971,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,83.63,R-3-P,16.37,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.8612891,130,Yes,67,0,0,66,133,VL/AM,,,37517.6025390625,800.21502480649
47,4071018017,14815 CRENSHAW BLVD GARDENA CA 90249,0500,Residential,Five or more apartments,Non-Vacant,38,1963,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.63303641,95,Yes,34,0,0,34,68,VL/AM,,,27574.955078125,735.236219491005
48,5845020028,840 E MENDOCINO ST UNIT 6-B ALTADENA CA 91001,010H,Residential,Single,Non-Vacant,12,1959,5,San Gabriel Valley,West San Gabriel Valley Planning Area,ALTADENA,Altadena Community Plan,MU,100,,,,,"MU - Mixed Use ""Center"" (12.1 - 22 du/gross acre)",12.1 du/gross acre,22 du/gross acre,CG,CG - General Commercial (20 - 50 du/net ac),20,50,R-2,100,,,,,R-2 - Two-Family Residence,C-3,C-3 - General Commercial,0.66569946,34,Yes,0,0,0,26,26,AM,,,28997.751953125,712.442861319206
49,5836031025,2107 RAYMOND AVE ALTADENA CA 91001,0500,Residential,Five or more apartments,Non-Vacant,20,1928,5,San Gabriel Valley,West San Gabriel Valley Planning Area,ALTADENA,Altadena Community Plan,MD,72.42,GC,27.59,,,MD - Medium Density Residential (12 - 22 du/gross ac),12 du/gross ac,22 du/gross ac,H50,H50 - Residential 50 (20 - 50 du/net ac),20,50,R-3,71.9,R-3-P,22.22,C-3,5.87,R-3 - Limited Density Multiple Residence,R-4,R-4 - Unlimited Residence,0.98685516,50,Yes,18,0,0,18,36,VL/AM,,,42987.240234375,1331.79763995594
